timestamp,humidity
2017-11-29 22:05:13+00:00,66.1
2017-11-29 22:15:16+00:00,65.8
2017-11-29 22:25:13+00:00,65.6
2017-11-29 22:35:13+00:00,65.4
2017-11-29 22:45:12+00:00,63.2
2017-11-29 22:55:11+00:00,64.4
2017-11-29 23:05:12+00:00,64.3
2017-11-29 23:15:11+00:00,63.4
2017-11-29 23:25:11+00:00,62.5
2017-11-29 23:35:09+00:00,61.5
2017-11-29 23:45:10+00:00,60.2
2017-11-29 23:55:10+00:00,59.3
