timestamp,status
2017-02-25 05:50:23,ON
2017-02-25 05:56:24,OFF
2017-02-25 07:54:00,ON
2017-02-25 09:49:47,OFF
2017-02-25 12:39:26,ON
2017-02-25 12:40:26,OFF
2017-02-25 12:59:23,ON
2017-02-25 13:00:23,OFF
2017-02-25 13:19:21,ON
2017-02-25 13:20:22,OFF
2017-02-25 13:29:20,ON
2017-02-25 13:30:21,OFF
2017-02-25 13:39:19,ON
2017-02-25 13:40:19,OFF
2017-02-25 13:49:18,ON
2017-02-25 13:50:18,OFF
2017-02-25 13:59:17,ON
2017-02-25 14:00:17,OFF
2017-02-25 14:09:15,ON
2017-02-25 14:10:15,OFF
2017-02-25 14:19:14,ON
2017-02-25 14:20:14,OFF
2017-02-25 14:29:13,ON
2017-02-25 14:30:13,OFF
2017-02-25 14:39:12,ON
2017-02-25 14:40:12,OFF
2017-02-25 14:49:10,ON
2017-02-25 14:50:11,OFF
2017-02-25 14:59:11,ON
2017-02-25 15:00:11,OFF
2017-02-25 15:09:09,ON
2017-02-25 15:10:09,OFF
2017-02-25 15:19:08,ON
2017-02-25 15:20:08,OFF
2017-02-25 15:29:07,ON
2017-02-25 15:30:08,OFF
2017-02-25 15:39:06,ON
2017-02-25 15:41:06,OFF
2017-02-25 15:49:05,ON
2017-02-25 15:50:05,OFF
2017-02-25 15:59:04,ON
2017-02-25 16:00:04,OFF
2017-02-25 16:09:02,ON
2017-02-25 16:10:04,OFF
2017-02-25 16:19:01,ON
2017-02-25 16:20:02,OFF
2017-02-25 16:29:00,ON
2017-02-25 16:30:01,OFF
2017-02-25 16:38:59,ON
2017-02-25 16:40:01,OFF
2017-02-25 16:49:00,ON
2017-02-25 16:50:01,OFF
2017-02-25 18:18:47,ON
2017-02-25 18:19:48,OFF
2017-02-25 18:28:46,ON
2017-02-25 18:29:47,OFF
2017-02-25 18:38:44,ON
2017-02-25 18:39:45,OFF
2017-02-25 18:48:44,ON
2017-02-25 18:49:45,OFF
2017-02-25 19:38:38,ON
2017-02-25 19:39:38,OFF
2017-02-25 19:48:37,ON
2017-02-25 19:49:38,OFF
2017-02-25 19:58:37,ON
2017-02-25 19:59:37,OFF
2017-02-25 20:08:36,ON
2017-02-25 20:09:37,OFF
2017-02-25 20:18:35,ON
2017-02-25 20:19:35,OFF
2017-02-25 21:08:28,ON
2017-02-25 21:09:29,OFF
2017-02-25 21:18:27,ON
2017-02-25 21:19:27,OFF
2017-02-25 22:08:22,ON
2017-02-25 22:09:22,OFF
2017-02-25 22:18:21,ON
2017-02-25 22:19:22,OFF
2017-02-25 23:28:13,ON
2017-02-25 23:29:13,OFF
2017-02-25 23:38:12,ON
2017-02-25 23:39:13,OFF
2017-02-25 23:48:10,ON
2017-02-25 23:49:11,OFF
2017-02-25 23:58:09,ON
2017-02-25 23:59:10,OFF
