timestamp,status
2016-01-19 00:39:07,ON
2016-01-19 00:40:07,OFF
2016-01-19 00:49:05,ON
2016-01-19 00:50:06,OFF
2016-01-19 00:59:05,ON
2016-01-19 01:00:05,OFF
2016-01-19 01:09:03,ON
2016-01-19 01:11:03,OFF
2016-01-19 01:19:00,ON
2016-01-19 01:21:01,OFF
2016-01-19 01:28:59,ON
2016-01-19 01:30:59,OFF
2016-01-19 01:38:57,ON
2016-01-19 01:40:58,OFF
2016-01-19 01:48:56,ON
2016-01-19 01:50:56,OFF
2016-01-19 01:58:55,ON
2016-01-19 02:00:55,OFF
2016-01-19 02:08:53,ON
2016-01-19 02:10:53,OFF
2016-01-19 02:18:51,ON
2016-01-19 02:20:52,OFF
2016-01-19 02:28:51,ON
2016-01-19 02:30:52,OFF
2016-01-19 02:38:48,ON
2016-01-19 02:40:49,OFF
2016-01-19 02:48:48,ON
2016-01-19 02:50:48,OFF
2016-01-19 02:58:46,ON
2016-01-19 03:00:46,OFF
2016-01-19 03:08:44,ON
2016-01-19 03:10:44,OFF
2016-01-19 03:18:44,ON
2016-01-19 03:20:46,OFF
2016-01-19 03:28:41,ON
2016-01-19 03:30:42,OFF
2016-01-19 03:38:42,ON
2016-01-19 03:40:43,OFF
2016-01-19 03:48:39,ON
2016-01-19 03:50:40,OFF
2016-01-19 03:58:38,ON
2016-01-19 04:00:39,OFF
2016-01-19 04:08:36,ON
2016-01-19 04:11:37,OFF
2016-01-19 04:18:36,ON
2016-01-19 04:20:38,OFF
2016-01-19 04:28:34,ON
2016-01-19 04:30:36,OFF
2016-01-19 04:38:32,ON
2016-01-19 04:40:33,OFF
2016-01-19 04:48:31,ON
2016-01-19 04:51:32,OFF
2016-01-19 04:58:31,ON
2016-01-19 05:00:31,OFF
2016-01-19 05:08:29,ON
2016-01-19 05:10:29,OFF
2016-01-19 05:18:26,ON
2016-01-19 05:21:27,OFF
2016-01-19 05:28:26,ON
2016-01-19 05:30:26,OFF
2016-01-19 05:38:24,ON
2016-01-19 05:40:24,OFF
2016-01-19 05:48:21,ON
