timestamp,status
2017-12-06 00:35:45,ON
2017-12-06 00:36:49,OFF
2017-12-06 00:45:46,ON
2017-12-06 00:46:46,OFF
2017-12-06 00:55:44,ON
2017-12-06 00:56:44,OFF
2017-12-06 01:05:43,ON
2017-12-06 01:16:42,OFF
2017-12-06 01:25:40,ON
2017-12-06 01:26:41,OFF
2017-12-06 01:35:39,ON
2017-12-06 01:36:39,OFF
2017-12-06 01:45:37,ON
2017-12-06 01:46:38,OFF
2017-12-06 01:55:36,ON
2017-12-06 01:56:37,OFF
2017-12-06 02:05:35,ON
2017-12-06 02:06:35,OFF
2017-12-06 02:15:33,ON
2017-12-06 02:16:34,OFF
2017-12-06 02:25:33,ON
2017-12-06 02:26:34,OFF
2017-12-06 02:35:31,ON
2017-12-06 02:36:32,OFF
2017-12-06 02:45:30,ON
2017-12-06 02:46:31,OFF
2017-12-06 02:55:29,ON
2017-12-06 02:56:30,OFF
2017-12-06 03:05:27,ON
2017-12-06 03:06:29,OFF
2017-12-06 03:15:26,ON
2017-12-06 03:16:27,OFF
2017-12-06 03:25:25,ON
2017-12-06 03:26:26,OFF
2017-12-06 03:45:22,ON
2017-12-06 03:46:22,OFF
2017-12-06 03:55:20,ON
2017-12-06 03:56:22,OFF
2017-12-06 04:05:20,ON
2017-12-06 04:06:21,OFF
2017-12-06 04:15:18,ON
2017-12-06 04:16:18,OFF
2017-12-06 04:25:16,ON
2017-12-06 04:26:18,OFF
2017-12-06 04:35:15,ON
2017-12-06 04:36:15,OFF
2017-12-06 04:45:13,ON
2017-12-06 04:46:14,OFF
2017-12-06 04:55:12,ON
2017-12-06 04:56:13,OFF
2017-12-06 05:05:10,ON
2017-12-06 05:06:11,OFF
2017-12-06 05:15:10,ON
2017-12-06 05:16:10,OFF
2017-12-06 05:25:09,ON
2017-12-06 05:26:09,OFF
2017-12-06 05:35:07,ON
2017-12-06 05:36:08,OFF
2017-12-06 05:45:07,ON
2017-12-06 05:46:08,OFF
2017-12-06 05:55:06,ON
2017-12-06 05:56:07,OFF
2017-12-06 06:05:04,ON
2017-12-06 06:06:05,OFF
2017-12-06 06:15:04,ON
2017-12-06 06:16:05,OFF
2017-12-06 06:25:01,ON
2017-12-06 06:26:02,OFF
2017-12-06 06:34:59,ON
2017-12-06 06:36:01,OFF
2017-12-06 06:44:58,ON
2017-12-06 06:46:00,OFF
2017-12-06 06:52:28,ON
2017-12-06 07:23:09,OFF
2017-12-06 15:23:53,ON
2017-12-06 15:24:53,OFF
2017-12-06 15:33:51,ON
2017-12-06 15:34:54,OFF
2017-12-06 15:43:52,ON
2017-12-06 15:44:53,OFF
2017-12-06 15:53:50,ON
2017-12-06 15:54:51,OFF
2017-12-06 16:03:49,ON
2017-12-06 16:04:50,OFF
2017-12-06 16:13:48,ON
2017-12-06 16:14:49,OFF
2017-12-06 16:23:47,ON
2017-12-06 16:24:47,OFF
2017-12-06 16:33:45,ON
2017-12-06 16:34:46,OFF
2017-12-06 16:43:44,ON
2017-12-06 16:44:45,OFF
2017-12-06 17:53:35,ON
2017-12-06 17:54:35,OFF
2017-12-06 18:03:33,ON
2017-12-06 18:04:35,OFF
2017-12-06 18:13:32,ON
2017-12-06 18:14:32,OFF
