timestamp,status
2017-01-20 00:08:42,OFF
2017-01-20 00:39:03,ON
2017-01-20 00:48:36,OFF
2017-01-20 01:58:27,ON
2017-01-20 02:08:25,OFF
2017-01-20 03:08:16,ON
2017-01-20 03:18:15,OFF
2017-01-20 04:38:04,ON
2017-01-20 04:58:02,OFF
2017-01-20 05:47:54,ON
2017-01-20 05:57:53,OFF
2017-01-20 06:57:46,ON
2017-01-20 07:11:30,OFF
2017-01-20 13:09:16,ON
2017-01-20 14:16:39,OFF
2017-01-20 15:16:33,ON
2017-01-20 15:36:29,OFF
2017-01-20 16:16:24,ON
2017-01-20 16:26:23,OFF
2017-01-20 17:06:17,ON
2017-01-20 17:16:16,OFF
2017-01-20 17:56:10,ON
2017-01-20 18:06:08,OFF
2017-01-20 18:46:02,ON
2017-01-20 19:15:58,OFF
2017-01-20 19:55:52,ON
2017-01-20 20:05:51,OFF
2017-01-20 21:05:43,ON
2017-01-20 21:25:40,OFF
2017-01-20 22:25:31,ON
2017-01-20 22:35:30,OFF
2017-01-20 23:35:21,ON
2017-01-20 23:45:22,OFF
