timestamp,status
2017-01-25 00:11:50,ON
2017-01-25 00:21:48,OFF
2017-01-25 01:21:40,ON
2017-01-25 01:31:39,OFF
2017-01-25 02:31:31,ON
2017-01-25 02:41:29,OFF
2017-01-25 03:41:22,ON
2017-01-25 03:51:20,OFF
2017-01-25 04:51:14,ON
2017-01-25 05:01:12,OFF
2017-01-25 06:01:05,ON
2017-01-25 06:11:03,OFF
2017-01-25 07:10:54,ON
2017-01-25 07:20:53,OFF
2017-01-25 08:10:46,ON
2017-01-25 08:20:44,OFF
2017-01-25 19:23:51,ON
2017-01-25 20:38:57,OFF
2017-01-25 20:58:55,ON
2017-01-25 21:18:51,OFF
2017-01-25 21:48:47,ON
2017-01-25 22:08:44,OFF
2017-01-25 22:38:41,ON
2017-01-25 22:48:40,OFF
2017-01-25 23:18:34,ON
2017-01-25 23:38:32,OFF
