timestamp,status
2015-12-19 05:30:30,ON
2015-12-19 06:18:22,OFF
2015-12-19 06:20:20,ON
2015-12-19 06:27:20,OFF
2015-12-19 06:30:17,ON
2015-12-19 06:35:17,OFF
2015-12-19 06:40:15,ON
2015-12-19 06:43:15,OFF
2015-12-19 11:39:19,ON
2015-12-19 11:43:19,OFF
2015-12-19 11:49:17,ON
2015-12-19 11:52:17,OFF
2015-12-19 12:19:11,ON
2015-12-19 12:22:12,OFF
2015-12-19 12:39:07,ON
2015-12-19 12:42:07,OFF
2015-12-19 13:09:01,ON
2015-12-19 13:12:02,OFF
2015-12-19 13:58:50,ON
2015-12-19 14:01:50,OFF
2015-12-19 16:48:17,ON
2015-12-19 16:51:17,OFF
2015-12-19 16:58:15,ON
2015-12-19 17:03:15,OFF
2015-12-19 17:08:12,ON
2015-12-19 17:12:12,OFF
2015-12-19 17:18:10,ON
2015-12-19 17:21:10,OFF
2015-12-19 18:57:50,ON
2015-12-19 19:00:50,OFF
