timestamp,status
2015-12-30 02:41:50,ON
2015-12-30 02:44:51,OFF
2015-12-30 05:31:21,ON
2015-12-30 05:51:16,OFF
2015-12-30 06:31:10,ON
2015-12-30 06:34:10,OFF
2015-12-30 06:41:08,ON
2015-12-30 06:44:09,OFF
2015-12-30 06:51:06,ON
2015-12-30 06:54:06,OFF
2015-12-30 07:11:02,ON
2015-12-30 07:14:03,OFF
2015-12-30 07:21:01,ON
2015-12-30 07:24:02,OFF
2015-12-30 07:40:57,ON
2015-12-30 07:43:57,OFF
2015-12-30 16:09:33,ON
2015-12-30 16:12:33,OFF
2015-12-30 17:09:20,ON
2015-12-30 17:16:22,OFF
2015-12-30 17:19:19,ON
2015-12-30 17:26:19,OFF
2015-12-30 17:29:17,ON
2015-12-30 17:32:17,OFF
2015-12-30 18:19:09,ON
2015-12-30 18:22:09,OFF
2015-12-30 18:39:05,ON
2015-12-30 18:42:05,OFF
2015-12-30 19:08:59,ON
2015-12-30 19:11:59,OFF
2015-12-30 19:28:56,ON
2015-12-30 19:31:57,OFF
2015-12-30 22:58:23,ON
2015-12-30 23:17:21,OFF
