timestamp,temperature
2017-01-12 19:23:25.533161+00:00,20.6
2017-01-12 19:33:23.389536+00:00,21.0
2017-01-12 19:43:20.734798+00:00,21.3
2017-01-12 19:53:18.003740+00:00,21.1
2017-01-12 20:03:15.970045+00:00,21.0
2017-01-12 20:13:14.157878+00:00,20.8
2017-01-12 20:23:11.888551+00:00,20.7
2017-01-12 20:33:09.439056+00:00,20.9
2017-01-12 20:43:07.022664+00:00,21.3
2017-01-12 20:53:05.291153+00:00,21.1
2017-01-12 21:03:03.124383+00:00,20.9
2017-01-12 21:13:01.163925+00:00,20.8
2017-01-12 21:22:58.752309+00:00,20.6
2017-01-12 21:32:56.550672+00:00,20.5
2017-01-12 21:42:54.192994+00:00,20.5
2017-01-12 21:52:52.240013+00:00,20.4
2017-01-12 22:02:49.952562+00:00,20.3
2017-01-12 22:12:47.803152+00:00,20.3
2017-01-12 22:22:45.246430+00:00,20.4
2017-01-12 22:32:43.464290+00:00,20.4
2017-01-12 22:42:40.843949+00:00,20.5
2017-01-12 22:52:38.178383+00:00,20.8
2017-01-12 23:02:34.741985+00:00,21.6
2017-01-12 23:12:32.255274+00:00,21.9
2017-01-12 23:22:29.841422+00:00,21.9
2017-01-12 23:32:28.300495+00:00,21.6
2017-01-12 23:42:26.829606+00:00,21.4
2017-01-12 23:52:24.512830+00:00,21.1
